enrolment_id,student_id,product_id,start_date,end_date,enrolment_status
ENR-B3AE5697,STU-0464,PROD-58705027,,,Pending
ENR-8F9E20A7,STU-0465,PROD-A830AF13,,,Pending
ENR-ED067CC0,STU-0466,PROD-A830AF13,,,Pending
ENR-D11E5E0E,STU-0468,PROD-5B014189,,,Pending
ENR-E84A4C39,STU-0469,PROD-A830AF13,,,Completed
ENR-DC503EC6,STU-0470,PROD-5B014189,,,Active
ENR-5FEE9D58,STU-0471,PROD-5B014189,,,Active
ENR-6A9EC2DC,STU-0472,PROD-5B014189,,,Active
ENR-90B8C946,STU-0473,PROD-5B014189,,,Pending
ENR-1DED602B,STU-0474,PROD-A830AF13,,,Active
ENR-B86FB4C9,STU-0475,PROD-A830AF13,,,Active
ENR-C999F794,STU-0476,PROD-5B014189,,,Active
ENR-395467A6,STU-0477,PROD-A830AF13,,,Active
ENR-6E793601,STU-0478,PROD-A830AF13,,,Active
ENR-689C49F8,STU-0479,PROD-58705027,,,Active
ENR-8508B10B,STU-0480,PROD-5B014189,,,Active
ENR-93E4706A,STU-0481,PROD-5B014189,,,Completed
ENR-8366005D,STU-0482,PROD-A830AF13,,,Active
ENR-7DA74FC2,STU-0484,PROD-58705027,,,Active
ENR-C2A9849C,STU-0485,PROD-A830AF13,,,Active
ENR-47693D79,STU-0486,PROD-A830AF13,,,Pending
ENR-1FB054F6,STU-0487,PROD-5B014189,,,Pending
ENR-6AC55085,STU-0489,PROD-A830AF13,,,Pending
